Year,Category,Prize Share,Laureate ID,Laureate Type,Full Name,Birth Date,Birth Country,Sex,Organization Country,Disease,Diagnostic
2002,Physics,1/4,754,Individual,Masatoshi Koshiba,1926-09-19,Japan,Male,Japan,no,
2002,Physics,1/2,755,Individual,Riccardo Giacconi,1931-10-06,Italy,Male,United States of America,no,
2003,Chemistry,1/2,769,Individual,Peter Agre,1949-01-30,United States of America,Male,United States of America,no,
2003,Chemistry,1/2,770,Individual,Roderick MacKinnon,1956-02-19,United States of America,Male,United States of America,no,
2003,Chemistry,1/2,770,Individual,Roderick MacKinnon,1956-02-19,United States of America,Male,,no,
2003,Medicine,1/2,764,Individual,Paul C. Lauterbur,1929-05-06,United States of America,Male,United States of America,no,
2003,Medicine,1/2,765,Individual,Sir Peter Mansfield,1933-10-09,United Kingdom,Male,United Kingdom,no,
2003,Physics,1/3,766,Individual,Alexei A. Abrikosov,1928-06-25,Union of Soviet Socialist Republics (Russia),Male,United States of America,no,
2003,Physics,1/3,767,Individual,Vitaly L. Ginzburg,1916-10-04,Russia,Male,Russia,no,
2003,Physics,1/3,768,Individual,Anthony J. Leggett,1938-03-26,United Kingdom,Male,United States of America,no,
2004,Chemistry,1/3,779,Individual,Aaron Ciechanover,1947-10-01,British Protectorate of Palestine (Israel),Male,Israel,no,
2004,Chemistry,1/3,780,Individual,Avram Hershko,1937-12-31,Hungary,Male,Israel,no,
2004,Chemistry,1/3,781,Individual,Irwin Rose,1926-07-16,United States of America,Male,United States of America,no,
2004,Medicine,1/2,774,Individual,Richard Axel,1946-07-02,United States of America,Male,United States of America,no,
2004,Medicine,1/2,775,Individual,Linda B. Buck,1947-01-29,United States of America,Female,United States of America,no,
2004,Physics,1/3,776,Individual,David J. Gross,1941-02-19,United States of America,Male,United States of America,no,
2004,Physics,1/3,777,Individual,H. David Politzer,1949-08-31,United States of America,Male,United States of America,no,
2004,Physics,1/3,778,Individual,Frank Wilczek,1951-05-15,United States of America,Male,United States of America,no,
2005,Chemistry,1/3,794,Individual,Yves Chauvin,1930-10-10,Belgium,Male,France,no,
2005,Chemistry,1/3,795,Individual,Robert H. Grubbs,1942-02-27,United States of America,Male,United States of America,no,
2005,Chemistry,1/3,796,Individual,Richard R. Schrock,1945-01-04,United States of America,Male,United States of America,no,
2005,Medicine,1/2,789,Individual,Barry J. Marshall,1951-09-30,Australia,Male,Australia,no,
2005,Medicine,1/2,789,Individual,Barry J. Marshall,1951-09-30,Australia,Male,Australia,no,
2005,Medicine,1/2,790,Individual,J. Robin Warren,1937-06-11,Australia,Male,Australia,no,
2005,Physics,1/2,791,Individual,Roy J. Glauber,1925-09-01,United States of America,Male,United States of America,no,
2005,Physics,1/4,792,Individual,John L. Hall,1934-08-21,United States of America,Male,United States of America,no,
2005,Physics,1/4,792,Individual,John L. Hall,1934-08-21,United States of America,Male,United States of America,no,
2005,Physics,1/4,793,Individual,Theodor W. Hänsch,1941-10-30,Germany,Male,Germany,no,
2005,Physics,1/4,793,Individual,Theodor W. Hänsch,1941-10-30,Germany,Male,Germany,no,
2006,Chemistry,1/1,806,Individual,Roger D. Kornberg,1947-04-24,United States of America,Male,United States of America,no,
2006,Medicine,1/2,802,Individual,Andrew Z. Fire,1959-04-27,United States of America,Male,United States of America,no,
2006,Medicine,1/2,803,Individual,Craig C. Mello,1960-10-19,United States of America,Male,United States of America,no,
2006,Physics,1/2,804,Individual,John C. Mather,1946-08-07,United States of America,Male,United States of America,no,
2006,Physics,1/2,805,Individual,George F. Smoot,1945-02-20,United States of America,Male,United States of America,no,
2007,Chemistry,1/1,816,Individual,Gerhard Ertl,1936-10-10,Germany,Male,Germany,no,
2007,Medicine,1/3,811,Individual,Mario R. Capecchi,1937-10-06,Italy,Male,United States of America,no,
2007,Medicine,1/3,811,Individual,Mario R. Capecchi,1937-10-06,Italy,Male,,no,
2007,Medicine,1/3,812,Individual,Sir Martin J. Evans,1941-01-01,United Kingdom,Male,United Kingdom,yes,stem cell quackery
2007,Medicine,1/3,813,Individual,Oliver Smithies,1925-06-23,United Kingdom,Male,United States of America,no,
2007,Physics,1/2,814,Individual,Albert Fert,1938-03-07,France,Male,France,no,
2007,Physics,1/2,814,Individual,Albert Fert,1938-03-07,France,Male,France,no,
2007,Physics,1/2,815,Individual,Peter Grünberg,1939-05-18,Czechoslovakia (Czech Republic),Male,Germany,no,
2008,Chemistry,1/3,829,Individual,Osamu Shimomura,1928-08-27,Japan,Male,United States of America,no,
2008,Chemistry,1/3,829,Individual,Osamu Shimomura,1928-08-27,Japan,Male,United States of America,no,
2008,Chemistry,1/3,830,Individual,Martin Chalfie,1947-01-15,United States of America,Male,United States of America,no,
2008,Chemistry,1/3,831,Individual,Roger Y. Tsien,1952-02-01,United States of America,Male,United States of America,no,
2008,Chemistry,1/3,831,Individual,Roger Y. Tsien,1952-02-01,United States of America,Male,,no,
2008,Medicine,1/2,823,Individual,Harald zur Hausen,1936-03-11,Germany,Male,Germany,no,
2008,Medicine,1/4,824,Individual,Françoise Barré-Sinoussi,1947-07-30,France,Female,France,no,
2008,Medicine,1/4,825,Individual,Luc Montagnier,1932-08-18,France,Male,France,yes,"Homeopathy, water memory, autism quackery, AIDS cured by nutrition and vaccine hysteria"
2008,Physics,1/2,826,Individual,Yoichiro Nambu,1921-01-18,Japan,Male,United States of America,no,
2008,Physics,1/4,827,Individual,Makoto Kobayashi,1944-04-07,Japan,Male,Japan,no,
2008,Physics,1/4,828,Individual,Toshihide Maskawa,1940-02-07,Japan,Male,Japan,no,
2008,Physics,1/4,828,Individual,Toshihide Maskawa,1940-02-07,Japan,Male,Japan,no,
2009,Chemistry,1/3,841,Individual,Venkatraman Ramakrishnan,,India,Male,United Kingdom,no,
2009,Chemistry,1/3,842,Individual,Thomas A. Steitz,1940-08-23,United States of America,Male,United States of America,no,
2009,Chemistry,1/3,842,Individual,Thomas A. Steitz,1940-08-23,United States of America,Male,,no,
2009,Chemistry,1/3,843,Individual,Ada E. Yonath,1939-06-22,British Mandate of Palestine (Israel),Female,Israel,no,
2009,Medicine,1/3,835,Individual,Elizabeth H. Blackburn,1948-11-26,Australia,Female,United States of America,no,
2009,Medicine,1/3,836,Individual,Carol W. Greider,1961-04-15,United States of America,Female,United States of America,no,
2009,Medicine,1/3,837,Individual,Jack W. Szostak,1952-11-09,United Kingdom,Male,United States of America,no,
2009,Medicine,1/3,837,Individual,Jack W. Szostak,1952-11-09,United Kingdom,Male,United States of America,no,
2009,Medicine,1/3,837,Individual,Jack W. Szostak,1952-11-09,United Kingdom,Male,,no,
2009,Physics,1/2,838,Individual,Charles Kuen Kao,1933-11-04,China,Male,United Kingdom,no,
2009,Physics,1/2,838,Individual,Charles Kuen Kao,1933-11-04,China,Male,China,no,
2009,Physics,1/4,839,Individual,Willard S. Boyle,1924-08-19,Canada,Male,United States of America,no,
2009,Physics,1/4,840,Individual,George E. Smith,1930-05-10,United States of America,Male,United States of America,no,
2010,Chemistry,1/3,851,Individual,Richard F. Heck,1931-08-15,United States of America,Male,United States of America,no,
2010,Chemistry,1/3,852,Individual,Ei-ichi Negishi,1935-07-14,China,Male,United States of America,no,
2010,Chemistry,1/3,853,Individual,Akira Suzuki,1930-09-12,Japan,Male,Japan,no,
2010,Medicine,1/1,848,Individual,Robert G. Edwards,1925-09-27,United Kingdom,Male,United Kingdom,no,
2010,Physics,1/2,849,Individual,Andre Geim,1958-10-21,Russia,Male,United Kingdom,no,
2010,Physics,1/2,850,Individual,Konstantin Novoselov,1974-08-23,Russia,Male,United Kingdom,no,
2011,Chemistry,1/1,867,Individual,Dan Shechtman,1941-01-24,British Mandate of Palestine (Israel),Male,Israel,no,
2011,Medicine,1/4,861,Individual,Bruce A. Beutler,1957-12-29,United States of America,Male,United States of America,no,
2011,Medicine,1/4,861,Individual,Bruce A. Beutler,1957-12-29,United States of America,Male,United States of America,no,
2011,Medicine,1/4,862,Individual,Jules A. Hoffmann,1941-08-02,Luxembourg,Male,France,no,
2011,Medicine,1/2,863,Individual,Ralph M. Steinman,1943-01-14,Canada,Male,United States of America,no,
2011,Physics,1/2,864,Individual,Saul Perlmutter,,United States of America,Male,United States of America,no,
2011,Physics,1/2,864,Individual,Saul Perlmutter,,United States of America,Male,United States of America,no,
2011,Physics,1/4,865,Individual,Brian P. Schmidt,1967-02-24,United States of America,Male,Australia,no,
2011,Physics,1/4,866,Individual,Adam G. Riess,1969-12-16,United States of America,Male,United States of America,no,
2011,Physics,1/4,866,Individual,Adam G. Riess,1969-12-16,United States of America,Male,United States of America,no,
2012,Chemistry,1/2,878,Individual,Robert J. Lefkowitz,1943-04-15,United States of America,Male,,no,
2012,Chemistry,1/2,878,Individual,Robert J. Lefkowitz,1943-04-15,United States of America,Male,United States of America,no,
2012,Chemistry,1/2,879,Individual,Brian K. Kobilka,1955-05-30,United States of America,Male,United States of America,no,
2012,Medicine,1/2,874,Individual,Sir John B. Gurdon,1933-10-02,United Kingdom,Male,United Kingdom,no,
2012,Medicine,1/2,875,Individual,Shinya Yamanaka,1962-09-04,Japan,Male,Japan,no,
2012,Medicine,1/2,875,Individual,Shinya Yamanaka,1962-09-04,Japan,Male,United States of America,no,
2012,Physics,1/2,876,Individual,Serge Haroche,1944-09-11,Morocco,Male,France,no,
2012,Physics,1/2,876,Individual,Serge Haroche,1944-09-11,Morocco,Male,France,no,
2012,Physics,1/2,877,Individual,David J. Wineland,1944-02-24,United States of America,Male,United States of America,no,
2012,Physics,1/2,877,Individual,David J. Wineland,1944-02-24,United States of America,Male,United States of America,no,
2013,Chemistry,1/3,889,Individual,Martin Karplus,1930-03-15,Austria,Male,France,no,
2013,Chemistry,1/3,889,Individual,Martin Karplus,1930-03-15,Austria,Male,United States of America,no,
2013,Chemistry,1/3,890,Individual,Michael Levitt,1947-05-09,South Africa,Male,United States of America,no,
2013,Chemistry,1/3,891,Individual,Arieh Warshel,1940-11-20,British Mandate of Palestine (Israel),Male,United States of America,no,
2013,Medicine,1/3,884,Individual,James E. Rothman,1950-11-03,United States of America,Male,United States of America,no,
2013,Medicine,1/3,885,Individual,Randy W. Schekman,1948-12-30,United States of America,Male,United States of America,no,
2013,Medicine,1/3,885,Individual,Randy W. Schekman,1948-12-30,United States of America,Male,,no,
2013,Medicine,1/3,886,Individual,Thomas C. Südhof,1955-12-22,Germany,Male,United States of America,no,
2013,Medicine,1/3,886,Individual,Thomas C. Südhof,1955-12-22,Germany,Male,,no,
2013,Physics,1/2,887,Individual,François Englert,1932-11-06,Belgium,Male,Belgium,no,
2013,Physics,1/2,888,Individual,Peter W. Higgs,1929-05-29,United Kingdom,Male,United Kingdom,no,
2014,Chemistry,1/3,909,Individual,Eric Betzig,1960-01-13,United States of America,Male,United States of America,no,
2014,Chemistry,1/3,910,Individual,Stefan W. Hell,1962-12-23,Romania,Male,Germany,no,
2014,Chemistry,1/3,910,Individual,Stefan W. Hell,1962-12-23,Romania,Male,Germany,no,
2014,Chemistry,1/3,911,Individual,William E. Moerner,1953-06-24,United States of America,Male,United States of America,no,
2014,Medicine,1/2,903,Individual,John O'Keefe,1939-11-18,United States of America,Male,United Kingdom,no,
2014,Medicine,1/4,904,Individual,May-Britt Moser,1963-01-04,Norway,Female,Norway,no,
2014,Medicine,1/4,905,Individual,Edvard I. Moser,1962-04-27,Norway,Male,Norway,no,
2014,Physics,1/3,906,Individual,Isamu Akasaki,1929-01-30,Japan,Male,Japan,no,
2014,Physics,1/3,906,Individual,Isamu Akasaki,1929-01-30,Japan,Male,Japan,no,
2014,Physics,1/3,907,Individual,Hiroshi Amano,1960-09-11,Japan,Male,Japan,no,
2014,Physics,1/3,908,Individual,Shuji Nakamura,1954-05-22,Japan,Male,United States of America,no,
2015,Chemistry,1/3,921,Individual,Tomas Lindahl,1938-01-28,Sweden,Male,United Kingdom,no,
2015,Chemistry,1/3,921,Individual,Tomas Lindahl,1938-01-28,Sweden,Male,United Kingdom,no,
2015,Chemistry,1/3,922,Individual,Paul Modrich,1946-06-13,United States of America,Male,United States of America,no,
2015,Chemistry,1/3,922,Individual,Paul Modrich,1946-06-13,United States of America,Male,United States of America,no,
2015,Chemistry,1/3,923,Individual,Aziz Sancar,1946-09-08,Turkey,Male,United States of America,no,
2015,Medicine,1/4,916,Individual,William C. Campbell,1930-06-28,Ireland,Male,United States of America,no,
2015,Medicine,1/4,917,Individual,Satoshi Ōmura,1935-07-12,Japan,Male,Japan,no,
2015,Medicine,1/2,918,Individual,Youyou Tu,1930-12-30,China,Female,China,no,
2015,Physics,1/2,919,Individual,Takaaki Kajita,1959-03-09,Japan,Male,Japan,no,
2015,Physics,1/2,920,Individual,Arthur B. McDonald,1943-08-29,Canada,Male,Canada,no,
2016,Chemistry,1/3,931,Individual,Jean-Pierre Sauvage,1944-10-21,France,Male,France,no,
2016,Chemistry,1/3,932,Individual,Sir J. Fraser Stoddart,1942-05-24,United Kingdom,Male,United States of America,no,
2016,Chemistry,1/3,933,Individual,Bernard L. Feringa,1951-05-18,Netherlands,Male,Netherlands,no,
2016,Medicine,1/1,927,Individual,Yoshinori Ohsumi,1945-02-09,Japan,Male,Japan,no,
2016,Physics,1/2,928,Individual,David J. Thouless,1934-09-21,United Kingdom,Male,United States of America,no,
2016,Physics,1/4,929,Individual,F. Duncan M. Haldane,1951-09-14,United Kingdom,Male,United States of America,no,
2016,Physics,1/4,930,Individual,J. Michael Kosterlitz,1943-06-22,United Kingdom,Male,United States of America,no,
